2025-12-02 20:44:53 | [32mINFO[0m | AppleTrader | [CONNECTION] ✓ Connected to MT5 - Account: 68263159
2025-12-02 20:46:24 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:46:19
2025-12-02 20:46:24 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:46:34 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:46:34 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:46:29
2025-12-02 20:46:34 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:46:44 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:46:44 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:46:39
2025-12-02 20:46:44 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:46:54 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:46:55 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:46:49
2025-12-02 20:46:55 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:47:04 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:47:05 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:46:59
2025-12-02 20:47:05 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:47:14 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:47:15 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:47:09
2025-12-02 20:47:15 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:47:24 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:47:25 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:47:21
2025-12-02 20:47:25 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:47:34 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:47:35 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:47:33
2025-12-02 20:47:35 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:47:44 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:47:45 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:47:44
2025-12-02 20:47:45 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:47:54 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:47:54 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:47:54
2025-12-02 20:47:54 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:48:04 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:48:05 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:48:04
2025-12-02 20:48:05 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:48:14 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:48:15 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:48:09
2025-12-02 20:48:15 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:48:24 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:48:25 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:48:20
2025-12-02 20:48:25 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:48:34 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:48:35 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:48:29
2025-12-02 20:48:35 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:48:44 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:48:45 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:48:39
2025-12-02 20:48:45 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:48:54 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:48:55 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:48:49
2025-12-02 20:48:55 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:49:04 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:49:05 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:48:59
2025-12-02 20:49:05 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:49:14 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:49:15 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:49:09
2025-12-02 20:49:15 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:49:24 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:49:25 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:49:19
2025-12-02 20:49:25 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:49:34 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:49:35 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:49:33
2025-12-02 20:49:35 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:49:44 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:49:45 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:49:39
2025-12-02 20:49:45 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:49:54 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:49:55 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:49:49
2025-12-02 20:49:55 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:50:04 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:50:05 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:49:59
2025-12-02 20:50:05 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:50:14 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:50:14 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:50:09
2025-12-02 20:50:14 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:50:25 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:50:25 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:50:19
2025-12-02 20:50:25 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:50:34 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:50:35 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:50:29
2025-12-02 20:50:35 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:50:44 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:50:44 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:50:42
2025-12-02 20:50:44 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:50:54 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:50:54 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:50:49
2025-12-02 20:50:54 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:51:04 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:51:04 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:50:59
2025-12-02 20:51:04 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:51:14 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:51:14 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:51:09
2025-12-02 20:51:14 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:51:24 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:51:24 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:51:19
2025-12-02 20:51:24 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:51:34 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:51:34 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:51:34
2025-12-02 20:51:34 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:51:44 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:51:44 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:51:39
2025-12-02 20:51:44 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:51:54 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:51:54 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:51:52
2025-12-02 20:51:54 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:52:04 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:52:04 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:51:59
2025-12-02 20:52:04 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:52:10 | [32mINFO[0m | AppleTrader | Order requested: BUY
2025-12-02 20:52:10 | [32mINFO[0m | AppleTrader | [COMMENTARY] 📈 Placing BUY order...
2025-12-02 20:52:14 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:52:14 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:52:09
2025-12-02 20:52:14 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:52:24 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:52:24 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:52:19
2025-12-02 20:52:24 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:52:34 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:52:34 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:52:29
2025-12-02 20:52:34 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:52:44 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:52:44 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:52:39
2025-12-02 20:52:44 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:52:54 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:52:54 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:52:49
2025-12-02 20:52:54 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:53:04 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:53:04 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:52:59
2025-12-02 20:53:04 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:53:14 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:53:14 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:53:09
2025-12-02 20:53:14 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:53:24 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:53:24 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:53:19
2025-12-02 20:53:24 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:53:34 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:53:34 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:53:29
2025-12-02 20:53:34 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:53:44 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:53:44 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:53:39
2025-12-02 20:53:44 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:53:54 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:53:54 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:53:52
2025-12-02 20:53:54 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:54:04 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:54:04 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:53:59
2025-12-02 20:54:04 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:54:14 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:54:14 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:54:09
2025-12-02 20:54:14 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:54:24 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:54:24 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:54:20
2025-12-02 20:54:24 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:54:26 | [32mINFO[0m | AppleTrader | ✓ Loaded 100 historical candles for USDJPY M5
2025-12-02 20:54:26 | [32mINFO[0m | AppleTrader | Symbol changed to: USDJPY
2025-12-02 20:54:34 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:54:34 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:54:32
2025-12-02 20:54:34 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:54:40 | [32mINFO[0m | AppleTrader | Timeframe changed to: M15
2025-12-02 20:54:40 | [32mINFO[0m | AppleTrader | ✓ Loaded 100 historical candles for EURUSD M15
2025-12-02 20:54:40 | [32mINFO[0m | AppleTrader | Symbol changed to: EURUSD
2025-12-02 20:54:40 | [32mINFO[0m | AppleTrader | Symbol updated to match EA: EURUSD
2025-12-02 20:54:40 | [32mINFO[0m | AppleTrader | ✓ Loaded 100 historical candles for EURUSD M15
2025-12-02 20:54:40 | [32mINFO[0m | AppleTrader | Timeframe changed to: M15
2025-12-02 20:54:44 | [32mINFO[0m | AppleTrader | ✓ Loaded 100 historical candles for USDJPY M15
2025-12-02 20:54:45 | [32mINFO[0m | AppleTrader | Symbol changed to: USDJPY
2025-12-02 20:54:45 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:54:45 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:54:42
2025-12-02 20:54:45 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:54:47 | [32mINFO[0m | AppleTrader | Timeframe changed to: M5
2025-12-02 20:54:47 | [32mINFO[0m | AppleTrader | ✓ Loaded 100 historical candles for EURUSD M5
2025-12-02 20:54:47 | [32mINFO[0m | AppleTrader | Symbol changed to: EURUSD
2025-12-02 20:54:47 | [32mINFO[0m | AppleTrader | Symbol updated to match EA: EURUSD
2025-12-02 20:54:47 | [32mINFO[0m | AppleTrader | ✓ Loaded 100 historical candles for EURUSD M5
2025-12-02 20:54:47 | [32mINFO[0m | AppleTrader | Timeframe changed to: M5
2025-12-02 20:54:54 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:54:54 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:54:52
2025-12-02 20:54:54 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:54:57 | [32mINFO[0m | AppleTrader | [COMMENTARY] Commentary cleared
2025-12-02 20:54:57 | [32mINFO[0m | AppleTrader | Commentary cleared by user
2025-12-02 20:55:04 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:55:04 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:55:03
2025-12-02 20:55:05 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:55:14 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:55:14 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:55:09
2025-12-02 20:55:14 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:55:24 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:55:24 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:55:19
2025-12-02 20:55:24 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:55:34 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:55:34 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:55:33
2025-12-02 20:55:34 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:55:44 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:55:45 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:55:39
2025-12-02 20:55:45 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:55:54 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:55:54 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:55:49
2025-12-02 20:55:54 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:56:04 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:56:04 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:55:59
2025-12-02 20:56:04 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:56:14 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:56:14 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:56:09
2025-12-02 20:56:14 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:56:24 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:56:24 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:56:21
2025-12-02 20:56:24 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:56:34 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:56:34 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:56:29
2025-12-02 20:56:34 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:56:44 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:56:44 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:56:39
2025-12-02 20:56:44 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:56:54 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:56:54 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:56:49
2025-12-02 20:56:54 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:57:04 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:57:04 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:56:59
2025-12-02 20:57:04 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:57:14 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:57:14 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:57:09
2025-12-02 20:57:14 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:57:24 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:57:24 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:57:19
2025-12-02 20:57:24 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:57:34 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:57:34 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:57:29
2025-12-02 20:57:34 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:57:44 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:57:44 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:57:39
2025-12-02 20:57:45 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:57:54 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:57:54 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:57:49
2025-12-02 20:57:55 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:58:04 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:58:04 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:57:59
2025-12-02 20:58:04 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:58:14 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:58:15 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:58:09
2025-12-02 20:58:15 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:58:24 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:58:25 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:58:19
2025-12-02 20:58:25 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:58:34 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:58:35 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:58:29
2025-12-02 20:58:35 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:58:44 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:58:45 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:58:39
2025-12-02 20:58:45 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:58:54 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:58:55 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:58:52
2025-12-02 20:58:55 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:59:04 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:59:05 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:59:02
2025-12-02 20:59:05 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:59:14 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:59:15 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:59:09
2025-12-02 20:59:15 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:59:24 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:59:25 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:59:19
2025-12-02 20:59:25 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:59:34 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:59:35 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:59:29
2025-12-02 20:59:35 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:59:44 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:59:45 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:59:39
2025-12-02 20:59:45 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 20:59:54 | DEBUG    | AppleTrader | Live commentary updated
2025-12-02 20:59:55 | DEBUG    | AppleTrader | Data manager updated at 2025-12-02 22:59:52
2025-12-02 20:59:55 | DEBUG    | AppleTrader | Market data updated from IPC file
2025-12-02 21:00:04 | DEBUG    | AppleTrader | Live commentary updated
